id,fire_name,defoliated,tsd,cumltve_yrs
1,RED7_1986_119,1,0,1
2,TER7_1986_83,1,0,4
3,NIP9_1992_1122,1,0,6
4,THU130_1991_1263,1,0,6
5,CHA8_2012_1924,1,1,1
6,RED208_1988_862,1,1,1
7,IGN9_1987_492,1,2,1
8,NIP136_1995_1299,1,2,1
9,SLK60_1996_884,1,2,1
10,THU71_1998_684,1,2,3
11,FOR13_1987_316,1,3,1
12,NIP51_1996_620,1,3,2
13,DRY27_1996_1121,1,4,2
14,RED58_1999_677,1,4,7
15,NIP230_1998_821,1,4,9
16,THU36_1996_1313,1,5,1
17,THU74_1996_1129,1,5,1
18,NIP56_1998_832,1,6,1
19,NIP44_2000_29,1,7,1
20,RED62_2002_93,1,9,2
21,COC16_1997_1038,1,9,3
22,NIP20_2005_1521,1,9,3
23,THU142_2006_1634,1,9,6
24,THU144_2006_1638,1,10,5
25,PEM4_1999_1091,1,11,5
26,PEM8_1999_1450,1,11,5
27,THU37_2007_1662,1,13,3
28,COC23_1995_1273,1,14,1
29,RED25_2010_1756,1,14,1
30,COC38_1995_629,1,14,2
31,SLK11_2007_1658,1,14,2
32,SAU4_1998_335,1,15,1
33,SLK1_2012_1847,1,15,1
34,RED7_1986_119,0,NA,NA
35,TER7_1986_83,0,NA,NA
36,FOR13_1987_316,0,NA,NA
37,IGN9_1987_492,0,NA,NA
38,RED208_1988_862,0,NA,NA
39,THU130_1991_1263,0,NA,NA
40,NIP9_1992_1122,0,NA,NA
41,COC23_1995_1273,0,NA,NA
42,COC38_1995_629,0,NA,NA
43,NIP136_1995_1299,0,NA,NA
44,DRY27_1996_1121,0,NA,NA
45,NIP51_1996_620,0,NA,NA
46,SLK60_1996_884,0,NA,NA
47,THU36_1996_1313,0,NA,NA
48,THU74_1996_1129,0,NA,NA
49,COC16_1997_1038,0,NA,NA
50,NIP230_1998_821,0,NA,NA
51,NIP56_1998_832,0,NA,NA
52,SAU4_1998_335,0,NA,NA
53,THU71_1998_684,0,NA,NA
54,PEM4_1999_1091,0,NA,NA
55,PEM8_1999_1450,0,NA,NA
56,RED58_1999_677,0,NA,NA
57,NIP44_2000_29,0,NA,NA
58,RED62_2002_93,0,NA,NA
59,NIP20_2005_1521,0,NA,NA
60,THU142_2006_1634,0,NA,NA
61,THU144_2006_1638,0,NA,NA
62,SLK11_2007_1658,0,NA,NA
63,THU37_2007_1662,0,NA,NA
64,RED25_2010_1756,0,NA,NA
65,CHA8_2012_1924,0,NA,NA
66,SLK1_2012_1847,0,NA,NA
