id,fire_name,rbr_cv,rbr_extreme,rbr_median
1,RED7_1986_119,1.1007588368950896,505.9596794496457,78.01613291186244
2,TER7_1986_83,0.599286056103404,470.0767834721779,309.6857291052036
3,NIP9_1992_1122,1.243128965181643,236.1467647635781,67.9216150229899
4,THU130_1991_1263,1.0998183954089618,373.7624457060401,73.9966310190055
5,CHA8_2012_1924,0.6630230250375782,173.48331537400247,80.87249830585347
6,RED208_1988_862,0.6602272151033786,390.049254269944,177.51580047607422
7,IGN9_1987_492,1.1192338673862006,481.9478342410604,61.95437933148053
8,NIP136_1995_1299,0.9264165382817146,378.08063979731133,93.981557655029
9,SLK60_1996_884,0.4842667500219529,541.9413967686528,382.04227277267074
10,THU71_1998_684,1.1198041703837596,460.07780250918967,91.9211616104721
11,FOR13_1987_316,0.326287914236474,157.35904238244697,112.42370958480264
12,NIP51_1996_620,0.8944470001614003,505.99657473972513,133.97451511213904
13,DRY27_1996_1121,0.624210486689789,370.414531360973,178.04335420745906
14,RED58_1999_677,1.2673741514889882,556.050153269965,83.98367505274383
15,NIP230_1998_821,0.8472081565998416,486.00691026121984,245.99802566315088
16,THU36_1996_1313,0.5185547326331876,503.56076302945894,351.1463928222656
17,THU74_1996_1129,0.6962563697635442,513.746053305017,254.08322957035872
18,NIP56_1998_832,1.0219328407886257,413.0716094970703,81.64471142023528
19,NIP44_2000_29,0.7876019401284541,437.728946279972,137.86886659702932
20,RED62_2002_93,1.2106102787192796,459.950541057823,59.75205608195005
21,COC16_1997_1038,1.165571616269944,474.0140841836971,198.21125442577653
22,NIP20_2005_1521,0.8370869854625757,460.05335282602414,228.0492621059041
23,THU142_2006_1634,0.6343602292691808,542.0484410227906,261.9247450943854
24,THU144_2006_1638,0.633487603143109,554.0379956637823,258.03916825581007
25,PEM4_1999_1091,0.377764614359246,333.769901727289,230.07496114907607
26,PEM8_1999_1450,0.8311543831409458,373.91464479780177,137.859786503726
27,THU37_2007_1662,0.7026554989038328,411.9772081233178,211.96638236331015
28,COC23_1995_1273,0.30111160575293033,58.72407913208008,40.04583358764648
29,RED25_2010_1756,1.1481227943863632,250.61959075927737,45.005760130188285
30,COC38_1995_629,1.3408802060620584,198.09153450644763,49.98117206269037
31,SLK11_2007_1658,0.6548349386932067,374.05180174419365,185.95142257675892
32,SAU4_1998_335,-3.495979947702905,129.76490783691406,-61.34208679199219
33,SLK1_2012_1847,0.4970456867112637,186.64256286621097,125.67690207741477
34,RED7_1986_119,1.1176019697679305,523.9995841738228,91.95875984446558
35,TER7_1986_83,0.2963541538340682,429.4292194316912,305.89472579956055
36,FOR13_1987_316,0.4207021323411132,197.07044912593156,130.96718482127662
37,IGN9_1987_492,0.9472309616518154,387.90652921753593,83.86903219799996
38,RED208_1988_862,0.9642987792388934,395.9145746249948,91.82305704677704
39,THU130_1991_1263,0.7030788989382579,545.9720072530422,258.10697148800324
40,NIP9_1992_1122,0.7626140066887674,141.90440912834097,57.91222411692601
41,COC23_1995_1273,1.1496602106699023,457.9995312822847,65.97135031978179
42,COC38_1995_629,1.5190242403197711,382.1096164636445,46.05844370366653
43,NIP136_1995_1299,0.9383544393812904,564.0069191468472,99.83111764275046
44,DRY27_1996_1121,0.8006488822031534,494.0442244096235,182.16563415527344
45,NIP51_1996_620,0.8242593896947789,442.2405454469728,133.94689707843028
46,SLK60_1996_884,1.2749827764800734,563.9900425238268,59.849776365964566
47,THU36_1996_1313,1.096612948213619,508.0900437965614,67.79881636847075
48,THU74_1996_1129,0.8676229373592043,529.9666569788236,129.97936441478754
49,COC16_1997_1038,1.632663891466852,451.9104116647303,11.771993063628944
50,NIP230_1998_821,0.7353269083203173,486.0102343365649,298.0072781380926
51,NIP56_1998_832,0.9309519235358296,385.54612426757814,77.63710604795078
52,SAU4_1998_335,0.6444886949305587,324.33491124657434,170.2735105815687
53,THU71_1998_684,1.105761484236099,460.0177626762826,83.81273839322375
54,PEM4_1999_1091,0.4601516019857895,322.0517533947961,221.97767250719147
55,PEM8_1999_1450,0.4365308545049144,337.8960972067509,205.97619436209723
56,RED58_1999_677,1.367603324372245,571.9563876808841,59.990048475129946
57,NIP44_2000_29,0.8417357085581231,318.0543768707962,93.96628717006956
58,RED62_2002_93,1.2354404878432923,444.0396270202696,51.9229633177542
59,NIP20_2005_1521,1.615666644216072,396.03475238595615,35.934893050847805
60,THU142_2006_1634,0.6267275062295148,537.9976291140346,282.07398816213913
61,THU144_2006_1638,0.6767410070129197,565.9964462753105,238.00708625461064
62,SLK11_2007_1658,0.9586063130534328,339.9430335876085,91.91206189000468
63,THU37_2007_1662,0.5476910955422125,430.0065357166028,281.9601057448556
64,RED25_2010_1756,1.16081224940964,224.3940200805664,46.958350988387416
65,CHA8_2012_1924,0.6995807485480066,193.9650539392334,89.98569101877199
66,SLK1_2012_1847,0.7754358134755915,274.0290348855332,97.93029265132373
